Recipe(inlink) URL,Outlink URL
https://tasty.co,https://tasty.co/recipe/upside-down-fruit-cake
https://tasty.co,https://tasty.co/recipe/4-layers-4-textures-1-chocolate-cake
https://tasty.co,https://tasty.co/recipe/sourdough-starter
https://tasty.co,https://tasty.co/recipe/berry-stuffed-french-toast-for-two
https://tasty.co,https://tasty.co/recipe/best-ever-chocolate-chip-cookies
https://tasty.co,https://tasty.co/recipe/lasagna-chips-and-dip
https://tasty.co,https://tasty.co/recipe/cake-mix-cookies
https://tasty.co,https://tasty.co/recipe/classic-coq-au-vin
https://tasty.co,https://tasty.co/recipe/lemon-ricotta-cake
https://tasty.co,https://tasty.co/recipe/15-minute-chicken-noodle-wonton-soup
https://tasty.co,https://tasty.co/recipe/surf-and-surf
https://tasty.co,https://tasty.co/recipe/indian-lamb-chops
https://tasty.co,https://tasty.co/recipe/aligot-cheesy-potatoes
https://tasty.co,https://tasty.co/recipe/eggs-benedict-with-spinach
https://tasty.co,https://tasty.co/recipe/ketchup-leather
https://tasty.co,https://tasty.co/recipe/stuffed-chocolate-chip-cookies
https://tasty.co,https://tasty.co/recipe/chocolate-butter-fruit-loop-mini-pies
https://tasty.co/topic/game-day,https://tasty.co/recipe/buffalo-chicken-sliders
https://tasty.co/topic/game-day,https://tasty.co/recipe/protein-packed-buddha-bowl
https://tasty.co/topic/game-day,https://tasty.co/recipe/classic-hot-crab-dip-for-a-crowd
https://tasty.co/topic/game-day,https://tasty.co/recipe/smoky-oven-fried-chicken
https://tasty.co/topic/game-day,https://tasty.co/recipe/buffalo-chickpea-wraps
https://tasty.co/topic/game-day,https://tasty.co/recipe/baked-buffalo-wings
https://tasty.co/topic/game-day,https://tasty.co/recipe/buffalo-chicken-totchos
https://tasty.co/topic/game-day,https://tasty.co/recipe/potato-crust-breakfast-pizza
https://tasty.co/topic/game-day,https://tasty.co/recipe/healthy-slow-cooker-buffalo-chicken-dip
https://tasty.co/topic/game-day,https://tasty.co/recipe/bloody-mary-from-leftover-sauce
https://tasty.co/topic/game-day,https://tasty.co/recipe/southwestern-sweet-potato-toast
https://tasty.co/topic/game-day,https://tasty.co/recipe/buffalo-meatball-corn-dogs
https://tasty.co/topic/game-day,https://tasty.co/recipe/muffin-tin-deviled-eggs
https://tasty.co/topic/game-day,https://tasty.co/recipe/extra-crispy-spicy-fried-cauliflower
https://tasty.co/topic/game-day,https://tasty.co/recipe/hot-chicken-dip
https://tasty.co/topic/game-day,https://tasty.co/recipe/stuffed-firecracker-chicken-rolls
https://tasty.co/topic/game-day,https://tasty.co/recipe/slow-cooker-buffalo-chicken-chili
https://tasty.co/topic/game-day,https://tasty.co/recipe/classic-chocolate-cake
https://tasty.co/topic/game-day,https://tasty.co/recipe/buffalo-cauliflower-nachos
https://tasty.co/topic/game-day,https://tasty.co/recipe/buffalo-chicken-mozzarella-sticks
https://tasty.co/topic/spring-recipes,https://tasty.co/recipe/how-to-make-a-fresh-seacuterie-board
https://tasty.co/topic/spring-recipes,https://tasty.co/recipe/fruit-spring-rolls-with-strawberry-lemonade-dip
https://tasty.co/topic/spring-recipes,https://tasty.co/recipe/instant-energy-ginger-citrus-spritz
https://tasty.co/topic/spring-recipes,https://tasty.co/recipe/no-bake-spring-berry-pie
https://tasty.co/topic/spring-recipes,https://tasty.co/recipe/veggie-spring-rolls-with-peanut-sauce
https://tasty.co/topic/no-bake-desserts,https://tasty.co/recipe/delicious-pie-bar-cloud-candy-pie
https://tasty.co/topic/romantic-dinners,https://tasty.co/recipe/bruschetta-chicken
https://tasty.co/topic/romantic-dinners,https://tasty.co/recipe/honey-lemon-glazed-salmon-veggies
https://tasty.co/topic/healthy,https://tasty.co/recipe/sweet-and-sour-eggplant
https://tasty.co/topic/healthy,https://tasty.co/recipe/zesty-artichoke-basil-grain-bowl
https://tasty.co/topic/healthy,https://tasty.co/recipe/mashed-potato-kibbeh-nayeh
https://tasty.co/topic/healthy,https://tasty.co/recipe/organic-quinoa-rice-cakes-with-mediterranean-chicken
https://tasty.co/topic/healthy,https://tasty.co/recipe/zesty-one-pot-chicken-bake
https://tasty.co/topic/healthy,https://tasty.co/recipe/low-carb-avocado-chicken-salad
https://tasty.co/topic/healthy,https://tasty.co/recipe/bell-pepper-chutney
https://tasty.co/topic/healthy,https://tasty.co/recipe/tofu-buddha-bowl
https://tasty.co/topic/healthy,https://tasty.co/recipe/hearty-turkey-tacos
https://tasty.co/topic/healthy,https://tasty.co/recipe/pizza-margherita-by-mario-batali
https://tasty.co/topic/healthy,https://tasty.co/recipe/worlds-best-homemade-chicken-soup
https://tasty.co/topic/best-vegetarian,https://tasty.co/recipe/the-best-ever-vegan-cinnamon-rolls
https://tasty.co/topic/best-vegetarian,https://tasty.co/recipe/the-best-soft-and-chewy-snickerdoodle-cookies
https://tasty.co/topic/best-vegetarian,https://tasty.co/recipe/the-best-ever-vegan-burger
